date,close,volume,open,high,low
2014/08/18,219.24,1895562,220,221.2483,218.88
2014/08/15,218.85,2523067,221.4,221.56,217.089
2014/08/14,219.58,2360223,219,222.1273,218.64
2014/08/13,218.59,2532148,218.1,219.78,217.271
2014/08/12,216.16,1513235,217.77,218.7,214.75
2014/08/11,217.98,2365487,217,220.39,216.1
2014/08/08,215.09,1984724,214.39,215.795,213
2014/08/07,213.51,2119472,216.01,217,211.86
2014/08/06,215.14,1991261,213.57,217.38,212.276
2014/08/05,215.57,2750576,218.46,220.4,214.58
2014/08/04,218.9,3411540,213.19,220.57,213.06
2014/08/01,212.38,5078898,216.32,217.8925,210.1
2014/07/31,216.05,4602145,216.14,220.7371,215.13
2014/07/30,219.13,4006114,221.67,222.54,218.82
2014/07/29,220,4345603,226.34,226.34,219.76
2014/07/28,225.8,5184105,226.66,229.6,224.02
2014/07/25,226.5,12570510,221.18,226.7602,217
2014/07/24,204.27,6495314,203.6,205.5,201.91
2014/07/23,200.12,2877482,199.25,201,198.19
2014/07/22,198.43,3415908,199.52,200.05,197.75
2014/07/21,197.72,5309527,194.15,199.09,193
2014/07/18,191.17,2225075,188.11,191.6995,187.0024
2014/07/17,186.91,2397753,187.67,191.41,186.03
2014/07/16,189.42,2047520,190.82,193.4,189.31
2014/07/15,189.87,2416981,188.95,190.439,186.79
2014/07/14,188.52,2015969,188,190.48,186.73
2014/07/11,186.1,1941662,184.02,186.54,183.032
2014/07/10,183.32,2926852,180.01,185.35,176.69
2014/07/09,184.94,2200698,182.09,185.08,179.84
2014/07/08,182.3,4030636,187.71,188.4,177.82
2014/07/07,188,2044963,191.84,191.84,187.64
2014/07/03,191.2,1878462,191.36,191.55,189.31
2014/07/02,189.96,3355181,192.21,193.89,189.42
2014/07/01,191.28,4104251,188.05,191.5599,186.5
2014/06/30,186.81,3149441,185.41,188.6631,184.165
2014/06/27,184.96,2128958,183.45,185.54,182.85
2014/06/26,183.71,2144291,184.46,185.9,182.34
2014/06/25,184.46,4307410,180,185.82,179.26
2014/06/24,181.19,5866626,177.02,184.29,176.2
2014/06/23,177.54,3281795,174,178.92,174
2014/06/20,174.4999,2517435,175.17,176.96,172.9
2014/06/19,174.39,1614282,177.1,177.17,173.21
2014/06/18,176.68,2585185,178.41,178.41,174.53
2014/06/17,178.22,2053349,177.89,179.26,176.17
2014/06/16,176.88,2167058,177.45,177.47,174.56
2014/06/13,178.05,2373278,176.31,179.5,175.8
2014/06/12,175.98,3060574,176.5,179.5,174.76
2014/06/11,176.51,3244609,174.14,178.68,173.56
2014/06/10,176.14,4110919,171.65,176.28,171.08
2014/06/09,171.59,2377531,172.46,174.58,170.38
2014/06/06,172.34,4811785,166.5,173.34,166.5
2014/06/05,166.42,2302380,162.9,168.14,162.68
2014/06/04,163.38,1794771,162.51,164.5,160.8
2014/06/03,163.671,2707115,167,167.19,162.8
2014/06/02,167.25,1973770,166.5,167.58,164.27
2014/05/30,165.8101,1943711,167.78,167.87,165.05
2014/05/29,167.5,2262528,166.71,169.59,165.52
2014/05/28,166.17,2803245,169.74,170.79,166
2014/05/27,169.32,3306966,168.04,170.308,167.23
2014/05/23,167.63,2700363,162.9,167.99,161.9
2014/05/22,163.53,3047104,164.28,164.9699,161.5004
2014/05/21,163.97,3363450,159.69,164.49,158.82
2014/05/20,158.42,2676174,158.15,159.92,156.29
2014/05/19,157.65,2528359,154.45,158.39,152.71
2014/05/16,154.77,2730837,154.65,155.64,152.471
2014/05/15,155.39,2490301,156.65,156.72,152.08
2014/05/14,156.02,2546559,156,158.75,155.64
2014/05/13,156.11,2914058,159.39,159.61,155.12
